2025-12-26 20:23:49.308593 | BLOCKED 10.44.17.247 | Packets: 40
2025-12-26 20:24:03.765473 | BLOCKED 10.44.17.150 | Packets: 40
2025-12-26 20:24:06.604569 | BLOCKED 104.18.32.47 | Packets: 40
2025-12-26 20:36:30.967181 | IP:10.44.17.247 | Packets:50 | Risk:MEDIUM | Reason:Abnormal packet burst pattern detected by Isolation Forest
2025-12-26 20:36:32.164047 | IP:23.206.197.139 | Packets:50 | Risk:MEDIUM | Reason:Abnormal packet burst pattern detected by Isolation Forest
2025-12-26 20:37:11.411608 | IP:10.44.17.150 | Packets:50 | Risk:MEDIUM | Reason:Abnormal packet burst pattern detected by Isolation Forest
2025-12-26 20:37:12.167786 | IP:104.18.32.47 | Packets:50 | Risk:MEDIUM | Reason:Abnormal packet burst pattern detected by Isolation Forest
2025-12-26 20:37:29.553186 | IP:142.250.202.174 | Packets:50 | Risk:MEDIUM | Reason:Abnormal packet burst pattern detected by Isolation Forest
2025-12-26 20:41:48.233103 | IP:10.44.17.247 | Packets:50 | Risk:MEDIUM | Reason:Abnormal packet burst pattern detected by Isolation Forest
2025-12-26 20:41:49.423984 | IP:23.206.197.139 | Packets:50 | Risk:MEDIUM | Reason:Abnormal packet burst pattern detected by Isolation Forest
2025-12-26 20:42:29.110592 | IP:10.44.17.150 | Packets:50 | Risk:MEDIUM | Reason:Abnormal packet burst pattern detected by Isolation Forest
2025-12-26 20:42:34.505955 | IP:23.206.197.89 | Packets:50 | Risk:MEDIUM | Reason:Abnormal packet burst pattern detected by Isolation Forest
2025-12-26 20:56:04.280571 | IP:10.44.17.247 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-26 20:56:05.412929 | IP:23.206.197.139 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-26 20:57:02.402527 | IP:10.44.17.150 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-26 20:57:22.988153 | IP:23.206.197.98 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-26 20:57:30.136090 | IP:104.18.32.47 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-26 21:02:40.155380 | IP:10.44.17.247 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-26 21:02:48.013543 | IP:10.44.17.150 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-26 21:02:59.915885 | IP:104.18.32.47 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-26 21:04:13.374635 | IP:4.213.133.109 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-26 21:04:14.369798 | IP:13.107.6.158 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-26 21:07:22.769897 | IP:10.44.17.247 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-26 21:07:23.323370 | IP:10.44.17.150 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-26 21:07:36.389162 | IP:13.107.6.158 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-26 21:07:38.473678 | IP:4.213.133.109 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-26 21:07:43.736370 | IP:104.18.32.47 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-27 13:11:00.440521 | IP:10.44.17.247 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-27 13:11:03.050819 | IP:23.206.197.89 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-27 13:11:23.681583 | IP:23.206.197.114 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-27 13:11:54.245752 | IP:142.250.202.174 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-27 13:12:07.787245 | IP:172.64.155.209 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-27 13:12:09.773553 | IP:4.213.133.127 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-27 13:12:13.460627 | IP:13.107.6.158 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-27 13:12:51.891756 | IP:10.44.17.150 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-28 15:50:43.470831 | IP:10.44.17.247 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 15:50:44.164109 | IP:23.206.197.129 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 15:51:04.498594 | IP:142.250.187.14 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 15:51:33.730205 | IP:57.155.161.64 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 15:51:42.221696 | IP:142.250.202.174 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 15:52:26.653494 | IP:104.18.39.21 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 15:52:27.782602 | IP:4.213.133.127 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 15:52:30.836647 | IP:13.107.6.158 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 15:52:41.999106 | IP:104.18.32.47 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 15:52:44.964468 | IP:23.206.197.145 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 15:52:54.674358 | IP:10.44.17.150 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 15:53:46.560328 | IP:172.64.155.209 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 15:59:10.551579 | IP:10.44.17.247 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-28 15:59:11.189645 | IP:23.206.197.129 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-28 15:59:11.317588 | IP:23.206.197.74 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-28 15:59:56.895869 | IP:2.16.158.171 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-28 16:00:10.651883 | IP:142.250.202.46 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-28 16:00:28.906406 | IP:23.206.197.120 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-28 16:00:31.826318 | IP:104.18.32.47 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-28 16:00:55.902489 | IP:104.18.39.21 | Packets:50 | Risk:MEDIUM | ICMP Flood | MITRE:T1499 | Confidence:88%
2025-12-28 16:02:29.583787 | IP:10.44.17.247 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:03:10.518048 | IP:10.44.17.247 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:03:12.022696 | IP:150.171.27.12 | Packets:50 | Risk:HIGH | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:03:12.988235 | IP:23.206.197.98 | Packets:50 | Risk:HIGH | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:03:15.539652 | IP:119.160.63.17 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:03:16.270037 | IP:13.89.179.9 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:03:41.009289 | IP:23.206.197.136 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:03:42.203872 | IP:142.250.202.46 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:04:21.388217 | IP:23.206.197.99 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:04:50.721899 | IP:104.18.32.47 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:04:51.408241 | IP:10.44.17.150 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:04:54.561428 | IP:23.45.207.197 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:05:22.471428 | IP:23.206.197.89 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:05:33.645457 | IP:4.213.133.109 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:10:31.466419 | IP:10.44.17.247 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:11:01.576289 | IP:23.206.197.104 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:11:11.588086 | IP:142.250.202.46 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:11:14.404516 | IP:10.44.17.150 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:11:27.875227 | IP:13.107.6.158 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:11:27.969133 | IP:4.213.133.109 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:11:29.732565 | IP:104.18.32.47 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:11:51.516654 | IP:23.206.197.114 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:15:37.906882 | IP:10.44.17.247 | Packets:50 | Risk:MEDIUM | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:16:19.568953 | IP:23.206.197.89 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:16:23.726060 | IP:10.44.17.150 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:16:26.170367 | IP:142.250.202.46 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:16:30.651574 | IP:4.213.133.109 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:16:35.604664 | IP:13.107.6.158 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
2025-12-28 17:16:49.037744 | IP:104.18.32.47 | Packets:50 | Risk:LOW | ICMP Flood|MITRE:T1499|CONF:88%
